,Experiment,Tissue Type,Sampled Alpha,Sampled Beta,Fitted Alpha,Fitted Beta,Counting Noise,Cell Count,Dose Error (%),A/B Variation,Alpha Std Dev,B Std Dev,OER,R² - Relative to Fit,MSE - Relative to Fit,R² - Relative to Theoretical Curve,MSE - Relative Theoretical Curve,Theoretical Alpha,Theoretical Beta,Alpha Error,Beta Error,% Alpha Error,% Beta Error
0,1,Liver,0.0501635990863234,0.003,0.0510500265069464,0.002912319020329,True,1000,1.5,True,0.0159,0.0,1.0,0.99692441530371,0.0002827173184348,0.97853181061862,0.0019734227904297,0.037,0.003,0.014050026506946402,-8.768097967100028e-05,37.97304461336866,-2.9226993223666757
1,2,Liver,0.0176609326037977,0.003,0.0186675698174565,0.0029292538350562,True,1000,1.5,True,0.0159,0.0,1.0,0.9957852627985274,0.0004191061608492,0.9411859933459574,0.0058483628645515,0.037,0.003,-0.018332430182543498,-7.074616494379994e-05,-49.54710860146891,-2.3582054981266647
2,3,Liver,0.0421840854107285,0.003,0.0409214552970986,0.0030635436284118,True,1000,1.5,True,0.0159,0.0,1.0,0.9954805044568492,0.0004409906997497,0.9934817890398144,0.000636015764371,0.037,0.003,0.0039214552970986,6.354362841180013e-05,10.598527829996216,2.1181209470600044
3,4,Liver,0.0309568587792521,0.003,0.0312966737001688,0.0029764177418851,True,1000,1.5,True,0.0159,0.0,1.0,0.9951950557348648,0.0004743583463606,0.9910031625217094,0.0008881944749378,0.037,0.003,-0.005703326299831196,-2.358225811489997e-05,-15.414395404949179,-0.7860752704966656
4,5,Liver,0.0494457435161127,0.003,0.0480061361266273,0.0030813036821063,True,1000,1.5,True,0.0159,0.0,1.0,0.9955495593709522,0.0004221238982732,0.9801973318577368,0.0018782813139589,0.037,0.003,0.011006136126627299,8.130368210629985e-05,29.74631385574946,2.7101227368766616
5,6,Liver,0.0,0.003,2.6310574170318504e-16,0.0029756555562052,True,1000,1.5,True,0.0159,0.0,1.0,0.9952708393369868,0.0004851394381249,0.7362420173073438,0.0270575285219733,0.037,0.003,-0.036999999999999734,-2.4344443794799882e-05,-99.99999999999929,-0.8114814598266628
6,7,Liver,0.0297574254239959,0.003,0.0305886616217165,0.0029558390568853,True,1000,1.5,True,0.0159,0.0,1.0,0.9966555700972622,0.0003300083520375,0.9906459542152316,0.0009230013258127,0.037,0.003,-0.006411338378283497,-4.416094311470017e-05,-17.327941562928373,-1.4720314371566723
7,8,Liver,0.0392385205545834,0.003,0.0390370143601399,0.002999797418554,True,1000,1.5,True,0.0159,0.0,1.0,0.9969823470994096,0.000294544878246,0.9964414148247902,0.0003473438038401,0.037,0.003,0.0020370143601399007,-2.0258144600021621e-07,5.505444216594326,-0.006752714866673874
8,9,Liver,0.0440898809434474,0.003,0.0455030276517684,0.0029114829485392,True,1000,1.5,True,0.0159,0.0,1.0,0.9973401881443432,0.0002503340308697,0.9907249161725734,0.0008729448724865,0.037,0.003,0.0085030276517684,-8.851705146080023e-05,22.98115581559027,-2.9505683820266744
9,10,Liver,0.0380381236376399,0.003,0.0416532340797316,0.0027785351468012,True,1000,1.5,True,0.0159,0.0,1.0,0.9961929182006964,0.000355059011616,0.995918648776304,0.0003806381391144,0.037,0.003,0.004653234079731602,-0.00022146485319880001,12.576308323598926,-7.382161773293333
