Experiment,Tissue Type,Sampled Alpha,Sampled Beta,Fitted Alpha,Fitted Beta,Counting Noise,Cell Count,Dose Error (%),A/B Variation,Alpha Std Dev,B Std Dev,OER,R² - Relative to Fit,MSE - Relative to Fit,R² - Relative to Theoretical Curve,MSE - Relative Theoretical Curve
1,Liver,0.05016359908632344,0.003,0.051050026506946476,0.0029123190203290414,True,1000,1.5,True,0.0159,0.0,1.0,0.99692441530371,0.00028271731843486613,0.97853181061862,0.00197342279042976
2,Liver,0.017660932603797776,0.003,0.018667569817456577,0.0029292538350562352,True,1000,1.5,True,0.0159,0.0,1.0,0.9957852627985274,0.0004191061608492185,0.9411859933459574,0.005848362864551588
3,Liver,0.04218408541072856,0.003,0.04092145529709869,0.0030635436284118917,True,1000,1.5,True,0.0159,0.0,1.0,0.9954805044568492,0.00044099069974972143,0.9934817890398144,0.0006360157643710349
4,Liver,0.030956858779252146,0.003,0.031296673700168844,0.002976417741885134,True,1000,1.5,True,0.0159,0.0,1.0,0.9951950557348648,0.0004743583463606628,0.9910031625217094,0.0008881944749378906
5,Liver,0.049445743516112715,0.003,0.04800613612662732,0.0030813036821063892,True,1000,1.5,True,0.0159,0.0,1.0,0.9955495593709522,0.0004221238982732654,0.9801973318577369,0.0018782813139589195
6,Liver,0.0,0.003,2.6310574170318504e-16,0.002975655556205256,True,1000,1.5,True,0.0159,0.0,1.0,0.9952708393369868,0.0004851394381249093,0.7362420173073438,0.027057528521973344
7,Liver,0.029757425423995978,0.003,0.030588661621716595,0.002955839056885358,True,1000,1.5,True,0.0159,0.0,1.0,0.9966555700972622,0.0003300083520375139,0.9906459542152317,0.0009230013258127717
8,Liver,0.03923852055458349,0.003,0.03903701436013992,0.002999797418554093,True,1000,1.5,True,0.0159,0.0,1.0,0.9969823470994095,0.00029454487824604185,0.9964414148247902,0.0003473438038401433
9,Liver,0.0440898809434474,0.003,0.04550302765176845,0.002911482948539203,True,1000,1.5,True,0.0159,0.0,1.0,0.9973401881443431,0.0002503340308697664,0.9907249161725734,0.0008729448724865583
10,Liver,0.038038123637639955,0.003,0.041653234079731635,0.0027785351468012664,True,1000,1.5,True,0.0159,0.0,1.0,0.9961929182006964,0.00035505901161600565,0.9959186487763039,0.00038063813911442217
